var_index,gene,bin
675,CYBA,24
676,HEBP2,21
677,MPHOSPH9,22
678,PLEKHA5,11
679,PRSS8,4
680,SIKE1,20
681,RRP12,18
682,FNIP2,15
683,MSMO1,21
684,TTC17,19
685,ALX4,2
686,FSTL4,6
687,FOXN3,18
688,METTL24,0
689,AKR7A2,16
690,MRTO4,19
691,NNAT,7
692,USE1,14
693,MCF2L2,12
694,LAMA3,5
695,AP5M1,20
696,ANAPC4,20
697,KCNQ1,12
698,TRAPPC3,22
699,THRAP3,21
700,PHPT1,23
701,ENTPD2,8
702,LY75,17
703,ARID4B,22
704,OPN3,15
705,SDCCAG8,14
706,PTPRN,7
707,HHAT,10
708,KIF1B,20
709,FOXC1,9
710,TBC1D22A,15
711,SYNE2,23
712,PLEKHH1,9
713,ATP9A,12
714,SPO11,0
715,CBLN4,4
716,CHRDL2,3
717,FAM168A,17
718,RELT,15
719,GALC,15
720,NOP58,23
721,SZRD1,23
722,KCNH2,9
723,CUL1,19
724,FAM114A2,17
725,CYFIP2,23
726,TAB2,24
727,GINM1,19
728,EIF2AK2,23
729,USP36,18
730,KMT2C,22
731,MCOLN3,16
732,CCDC85A,2
733,PUM2,23
734,ITIH4,10
735,ITIH1,4
736,HPF1,14
737,ZFR,23
738,ZNF280C,14
739,NPFFR2,0
740,PHF21B,6
741,TRAF1,23
742,RC3H2,21
743,IL17RB,11
744,TRAF3IP2,16
745,GYG2,2
746,DCBLD2,12
747,SERPINB3,0
748,SOAT1,22
749,PKP2,6
750,MSH4,7
751,F7,4
752,GDI2,14
753,PRDM1,23
754,ATG5,21
755,TMCC3,8
756,PITHD1,22
757,MTA3,17
758,USP13,15
759,ATP11B,24
760,LAMC2,7
761,CDK14,9
762,SEC61A1,23
763,PPP1R12A,23
764,RASGRF1,5
765,CAMK2B,7
766,CROCC,11
767,POLR3E,17
768,ATP2B4,20
769,RIOK2,18
770,YIPF1,15
771,NDC1,21
772,DGKG,10
773,TBXAS1,12
774,PARP12,20
775,ALDH18A1,21
776,TARBP1,20
777,GATB,15
778,MXD1,16
779,CDK17,17
780,DNAJC25,16
781,SLC2A3,23
782,PSD,10
783,CTDP1,19
784,YBX3,22
785,STYK1,8
786,WNK1,23
787,CCAR1,15
788,OGFR,22
789,GNA15,21
790,CREB3L3,8
791,PIGV,16
792,PTPRU,9
793,SNRNP40,24
794,RIMBP2,4
795,COL11A1,0
796,QSER1,16
797,MPC1,15
798,ACAA1,21
799,BCAT1,14
800,HDAC7,24
801,LZTS1,13
802,PRDM6,3
803,WNT8A,5
804,SPAG4,11
805,NCKAP1,13
806,GUCY1B1,9
807,SFSWAP,17
808,TNK2,18
809,MON2,17
810,CDH3,7
811,ARSF,1
812,GPBP1,24
813,DGAT2,11
814,ZNF112,4
815,CS,11
816,LTK,9
817,ELMO2,20
818,WAPL,22
819,VMP1,24
820,APPBP2,18
821,POLD1,20
822,SEZ6,3
823,EIF4B,23
824,SLC6A16,10
825,BICRA,15
826,SPHK2,14
827,CA11,12
828,ISOC2,17
829,U2AF2,19
830,EPN1,16
831,MED29,14
832,AHRR,17
833,GSC2,3
834,ZNF275,16
835,MTMR1,20
836,GPC1,12
837,HAGH,19
838,RNF4,24
839,CASP8,22
840,LIMCH1,3
841,INTS13,22
842,TM7SF3,21
843,DLX3,6
844,SPA17,11
845,TSPAN32,13
846,CCN5,2
847,DMRT3,3
848,ST3GAL6,7
849,ATP2C2,2
850,NGFR,9
851,CDON,9
852,TAF2,21
853,HIPK2,22
854,TNPO3,21
855,RFXANK,21
856,TMEM161A,15
857,LPAR2,15
858,CTSA,20
859,SUGP2,20
860,SLC12A2,16
861,SNX24,11
862,EYA2,8
863,CNN2,24
864,ABCA7,15
865,SNCAIP,2
866,DDX20,17
867,BTBD1,24
868,FAR2,11
869,POU1F1,3
870,CHI3L2,13
871,SBNO2,20
872,PMS1,19
873,HMG20B,19
874,CALCRL,9
875,TAF11,20
876,ANKS1A,15
877,AP3D1,23
878,ZNF76,15
879,NHERF2,9
880,NTHL1,16
881,BLTP3A,15
882,GNAI3,24
883,IPO5,11
884,OAT,13
885,WDR3,21
886,PKN2,15
887,WDR18,22
888,TRAM2,13
889,NTN1,8
890,GLP2R,1
891,MCM10,18
892,DGKA,24
893,ERBB3,10
894,ANKRD44,23
895,KARS1,23
896,ADAT1,17
897,PDIA5,17
898,TBC1D22B,19
899,NDUFB4,23
900,SPEN,22
901,MYLK,8
902,ZC3H15,24
903,MAP2K4,20
904,PACC1,16
905,SNAP91,4
906,SLK,21
907,CYB5R4,22
908,COL17A1,2
909,GSTO2,10
910,SEC61A2,14
911,PRKCQ,22
912,TLE2,8
913,ASB1,16
914,FAM107B,24
915,ME1,9
916,TBC1D1,18
917,CDK13,18
918,MTHFD2,24
919,SLC9A7,18
920,FOXJ2,16
921,YBX1,24
922,PDE4A,16
923,PPP2R5A,23
924,CTNNA2,3
925,ELAVL1,24
926,TIE1,7
927,DIP2B,16
928,SMARCD1,22
929,KDM4A,18
930,NFYC,20
931,ZMYND12,9
932,SLC9A3,4
933,NGEF,9
934,ASPM,21
935,CD84,15
936,ELOVL1,19
937,SPI1,6
938,POLR1H,21
939,MPPED2,5
940,CLDN18,1
941,ZBTB11,21
942,ATXN3,17
943,GOLGA5,19
944,FGFR2,5
945,LRRC40,19
946,ISOC1,20
947,EML1,6
948,TRMT11,14
949,THUMPD1,22
950,MSANTD3,16
951,KIF26A,8
952,ATG2B,17
953,ARFGEF1,19
954,ACSM2B,5
955,ZFAT,13
956,MTFR1,16
957,STAG3,12
958,FECH,16
959,MYO9A,15
960,DDX3Y,15
961,PFKP,24
962,IDI1,18
963,SP100,22
964,KLF6,23
965,PLPP1,19
966,NEO1,11
967,TRAM1,24
968,PHKA1,14
969,TNFRSF1A,20
970,CACNB1,13
971,EVI5,12
972,STOML1,11
973,PKM,24
974,DHX29,17
975,DNTTIP2,23
976,METTL22,14
977,TP53BP1,17
978,TRO,8
979,RRP15,19
980,RHOA,24
981,DHX8,19
982,PRKCZ,10
983,ZFY,12
984,IARS2,23
985,SYT1,1
986,NAV3,0
987,IDH3G,21
988,ROGDI,11
989,PDZD4,8
990,ATP2B3,2
991,ROCK1,23
992,CBFB,24
993,PDK3,16
994,HYAL2,16
995,HDAC4,16
996,RASSF1,21
997,FGFR3,7
998,IFI35,20
999,HEATR6,13
1000,COASY,18
1001,PLEKHH3,10
1002,MEF2A,17
1003,OTUD5,20
1004,TFE3,19
1005,TBC1D25,12
1006,ACSL4,23
1007,INPP5A,16
1008,GPKOW,18
1009,GRIPAP1,21
1010,FTSJ1,19
1011,PRR11,19
1012,REEP1,5
